Common_Code,Diagnosis
V572,Person on outside of pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident
V573,Unspecified occupant of pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident
V574,Person boarding or alighting a pick-up truck or van injured in collision with fixed or stationary object
V575,Driver of pick-up truck or van injured in collision with fixed or stationary object in traffic accident
V576,Passenger in pick-up truck or van injured in collision with fixed or stationary object in traffic accident
V577,Person on outside of pick-up truck or van injured in collision with fixed or stationary object in traffic accident
V579,Unspecified occupant of pick-up truck or van injured in collision with fixed or stationary object in traffic accident
V580,Driver of pick-up truck or van injured in noncollision transport accident in nontraffic accident
V581,Passenger in pick-up truck or van injured in noncollision transport accident in nontraffic accident
V582,Person on outside of pick-up truck or van injured in noncollision transport accident in nontraffic accident
V583,Unspecified occupant of pick-up truck or van injured in noncollision transport accident in nontraffic accident
V584,Person boarding or alighting a pick-up truck or van injured in noncollision transport accident
V585,Driver of pick-up truck or van injured in noncollision transport accident in traffic accident
V586,Passenger in pick-up truck or van injured in noncollision transport accident in traffic accident
V587,Person on outside of pick-up truck or van injured in noncollision transport accident in traffic accident
V589,Unspecified occupant of pick-up truck or van injured in noncollision transport accident in traffic accident
V593,Occupant (driver) (passenger) of pick-up truck or van injured in unspecified nontraffic accident
V599,Occupant (driver) (passenger) of pick-up truck or van injured in unspecified traffic accident
V600,Driver of heavy transport vehicle injured in collision with pedestrian or animal in nontraffic accident
V601,Passenger in heavy transport vehicle injured in collision with pedestrian or animal in nontraffic accident
V602,Person on outside of heavy transport vehicle injured in collision with pedestrian or animal in nontraffic accident
V603,Unspecified occupant of heavy transport vehicle injured in collision with pedestrian or animal in nontraffic accident
V604,Person boarding or alighting a heavy transport vehicle injured in collision with pedestrian or animal
V605,Driver of heavy transport vehicle injured in collision with pedestrian or animal in traffic accident
V606,Passenger in heavy transport vehicle injured in collision with pedestrian or animal in traffic accident
V607,Person on outside of heavy transport vehicle injured in collision with pedestrian or animal in traffic accident
V609,Unspecified occupant of heavy transport vehicle injured in collision with pedestrian or animal in traffic accident
V610,Driver of heavy transport vehicle injured in collision with pedal cycle in nontraffic accident
V611,Passenger in heavy transport vehicle injured in collision with pedal cycle in nontraffic accident
V612,Person on outside of heavy transport vehicle injured in collision with pedal cycle in nontraffic accident
V613,Unspecified occupant of heavy transport vehicle injured in collision with pedal cycle in nontraffic accident
V614,Person boarding or alighting a heavy transport vehicle injured in collision with pedal cycle while boarding or alighting
V615,Driver of heavy transport vehicle injured in collision with pedal cycle in traffic accident
V616,Passenger in heavy transport vehicle injured in collision with pedal cycle in traffic accident
V617,Person on outside of heavy transport vehicle injured in collision with pedal cycle in traffic accident
V619,Unspecified occupant of heavy transport vehicle injured in collision with pedal cycle in traffic accident
V620,Driver of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
V621,Passenger in heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
V622,Person on outside of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
V623,Unspecified occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
V624,Person boarding or alighting a heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle
V625,Driver of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident
V626,Passenger in heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident
V627,Person on outside of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident
V629,Unspecified occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident
V630,"Driver of heavy transport vehicle injured in collision with car, pick-up truck or van in nontraffic accident"
V631,"Passenger in heavy transport vehicle injured in collision with car, pick-up truck or van in nontraffic accident"
V632,"Person on outside of heavy transport vehicle injured in collision with car, pick-up truck or van in nontraffic accident"
V633,"Unspecified occupant of heavy transport vehicle injured in collision with car, pick-up truck or van in nontraffic accident"
V634,"Person boarding or alighting a heavy transport vehicle injured in collision with car, pick-up truck or van"
V635,"Driver of heavy transport vehicle injured in collision with car, pick-up truck or van in traffic accident"
V636,"Passenger in heavy transport vehicle injured in collision with car, pick-up truck or van in traffic accident"
V637,"Person on outside of heavy transport vehicle injured in collision with car, pick-up truck or van in traffic accident"
V639,"Unspecified occupant of heavy transport vehicle injured in collision with car, pick-up truck or van in traffic accident"
V640,Driver of heavy transport vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident
V641,Passenger in heavy transport vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident
V642,Person on outside of heavy transport vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident
V643,Unspecified occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident
V644,Person boarding or alighting a heavy transport vehicle injured in collision with heavy transport vehicle or bus while boarding or alighting
V645,Driver of heavy transport vehicle injured in collision with heavy transport vehicle or bus in traffic accident
V646,Passenger in heavy transport vehicle injured in collision with heavy transport vehicle or bus in traffic accident
V647,Person on outside of heavy transport vehicle injured in collision with heavy transport vehicle or bus in traffic accident
V649,Unspecified occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus in traffic accident
V650,Driver of heavy transport vehicle injured in collision with railway train or railway vehicle in nontraffic accident
V651,Passenger in heavy transport vehicle injured in collision with railway train or railway vehicle in nontraffic accident
V652,Person on outside of heavy transport vehicle injured in collision with railway train or railway vehicle in nontraffic accident
V653,Unspecified occupant of heavy transport vehicle injured in collision with railway train or railway vehicle in nontraffic accident
V654,Person boarding or alighting a heavy transport vehicle injured in collision with railway train or railway vehicle
V655,Driver of heavy transport vehicle injured in collision with railway train or railway vehicle in traffic accident
V656,Passenger in heavy transport vehicle injured in collision with railway train or railway vehicle in traffic accident
V657,Person on outside of heavy transport vehicle injured in collision with railway train or railway vehicle in traffic accident
V659,Unspecified occupant of heavy transport vehicle injured in collision with railway train or railway vehicle in traffic accident
V660,Driver of heavy transport vehicle injured in collision with other nonmotor vehicle in nontraffic accident
V661,Passenger in heavy transport vehicle injured in collision with other nonmotor vehicle in nontraffic accident
V662,Person on outside of heavy transport vehicle injured in collision with other nonmotor vehicle in nontraffic accident
V663,Unspecified occupant of heavy transport vehicle injured in collision with other nonmotor vehicle in nontraffic accident
V664,Person boarding or alighting a heavy transport vehicle injured in collision with other nonmotor vehicle
V665,Driver of heavy transport vehicle injured in collision with other nonmotor vehicle in traffic accident
V666,Passenger in heavy transport vehicle injured in collision with other nonmotor vehicle in traffic accident
V667,Person on outside of heavy transport vehicle injured in collision with other nonmotor vehicle in traffic accident
V669,Unspecified occupant of heavy transport vehicle injured in collision with other nonmotor vehicle in traffic accident
V670,Driver of heavy transport vehicle injured in collision with fixed or stationary object in nontraffic accident
V671,Passenger in heavy transport vehicle injured in collision with fixed or stationary object in nontraffic accident
V672,Person on outside of heavy transport vehicle injured in collision with fixed or stationary object in nontraffic accident
V673,Unspecified occupant of heavy transport vehicle injured in collision with fixed or stationary object in nontraffic accident
V674,Person boarding or alighting a heavy transport vehicle injured in collision with fixed or stationary object
V675,Driver of heavy transport vehicle injured in collision with fixed or stationary object in traffic accident
V676,Passenger in heavy transport vehicle injured in collision with fixed or stationary object in traffic accident
V677,Person on outside of heavy transport vehicle injured in collision with fixed or stationary object in traffic accident
V679,Unspecified occupant of heavy transport vehicle injured in collision with fixed or stationary object in traffic accident
V680,Driver of heavy transport vehicle injured in noncollision transport accident in nontraffic accident
V681,Passenger in heavy transport vehicle injured in noncollision transport accident in nontraffic accident
V682,Person on outside of heavy transport vehicle injured in noncollision transport accident in nontraffic accident
V683,Unspecified occupant of heavy transport vehicle injured in noncollision transport accident in nontraffic accident
V684,Person boarding or alighting a heavy transport vehicle injured in noncollision transport accident
V685,Driver of heavy transport vehicle injured in noncollision transport accident in traffic accident
V686,Passenger in heavy transport vehicle injured in noncollision transport accident in traffic accident
V687,Person on outside of heavy transport vehicle injured in noncollision transport accident in traffic accident
V689,Unspecified occupant of heavy transport vehicle injured in noncollision transport accident in traffic accident
V693,Occupant (driver) (passenger) of heavy transport vehicle injured in unspecified nontraffic accident
V699,Occupant (driver) (passenger) of heavy transport vehicle injured in unspecified traffic accident
V700,Driver of bus injured in collision with pedestrian or animal in nontraffic accident
V701,Passenger on bus injured in collision with pedestrian or animal in nontraffic accident
V702,Person on outside of bus injured in collision with pedestrian or animal in nontraffic accident
V703,Unspecified occupant of bus injured in collision with pedestrian or animal in nontraffic accident
V704,Person boarding or alighting from bus injured in collision with pedestrian or animal
V705,Driver of bus injured in collision with pedestrian or animal in traffic accident
V706,Passenger on bus injured in collision with pedestrian or animal in traffic accident
V707,Person on outside of bus injured in collision with pedestrian or animal in traffic accident
V709,Unspecified occupant of bus injured in collision with pedestrian or animal in traffic accident
V710,Driver of bus injured in collision with pedal cycle in nontraffic accident
V711,Passenger on bus injured in collision with pedal cycle in nontraffic accident
V712,Person on outside of bus injured in collision with pedal cycle in nontraffic accident
V713,Unspecified occupant of bus injured in collision with pedal cycle in nontraffic accident
V714,Person boarding or alighting from bus injured in collision with pedal cycle
V715,Driver of bus injured in collision with pedal cycle in traffic accident
V716,Passenger on bus injured in collision with pedal cycle in traffic accident
V717,Person on outside of bus injured in collision with pedal cycle in traffic accident
V719,Unspecified occupant of bus injured in collision with pedal cycle in traffic accident
V720,Driver of bus injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
V721,Passenger on bus injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
V722,Person on outside of bus injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
V723,Unspecified occupant of bus injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
V724,Person boarding or alighting from bus injured in collision with two- or three-wheeled motor vehicle
V725,Driver of bus injured in collision with two- or three-wheeled motor vehicle in traffic accident
V726,Passenger on bus injured in collision with two- or three-wheeled motor vehicle in traffic accident
V727,Person on outside of bus injured in collision with two- or three-wheeled motor vehicle in traffic accident
V729,Unspecified occupant of bus injured in collision with two- or three-wheeled motor vehicle in traffic accident
V730,"Driver of bus injured in collision with car, pick-up truck or van in nontraffic accident"
V731,"Passenger on bus injured in collision with car, pick-up truck or van in nontraffic accident"
V732,"Person on outside of bus injured in collision with car, pick-up truck or van in nontraffic accident"
V733,"Unspecified occupant of bus injured in collision with car, pick-up truck or van in nontraffic accident"
V734,"Person boarding or alighting from bus injured in collision with car, pick-up truck or van"
V735,"Driver of bus injured in collision with car, pick-up truck or van in traffic accident"
V736,"Passenger on bus injured in collision with car, pick-up truck or van in traffic accident"
V737,"Person on outside of bus injured in collision with car, pick-up truck or van in traffic accident"
V739,"Unspecified occupant of bus injured in collision with car, pick-up truck or van in traffic accident"
V740,Driver of bus injured in collision with heavy transport vehicle or bus in nontraffic accident
V741,Passenger on bus injured in collision with heavy transport vehicle or bus in nontraffic accident
V742,Person on outside of bus injured in collision with heavy transport vehicle or bus in nontraffic accident
V743,Unspecified occupant of bus injured in collision with heavy transport vehicle or bus in nontraffic accident
V744,Person boarding or alighting from bus injured in collision with heavy transport vehicle or bus
V745,Driver of bus injured in collision with heavy transport vehicle or bus in traffic accident
V746,Passenger on bus injured in collision with heavy transport vehicle or bus in traffic accident
V747,Person on outside of bus injured in collision with heavy transport vehicle or bus in traffic accident
V749,Unspecified occupant of bus injured in collision with heavy transport vehicle or bus in traffic accident
V750,Driver of bus injured in collision with railway train or railway vehicle in nontraffic accident
V751,Passenger on bus injured in collision with railway train or railway vehicle in nontraffic accident
V752,Person on outside of bus injured in collision with railway train or railway vehicle in nontraffic accident
V753,Unspecified occupant of bus injured in collision with railway train or railway vehicle in nontraffic accident
V754,Person boarding or alighting from bus injured in collision with railway train or railway vehicle
V755,Driver of bus injured in collision with railway train or railway vehicle in traffic accident
V756,Passenger on bus injured in collision with railway train or railway vehicle in traffic accident
V757,Person on outside of bus injured in collision with railway train or railway vehicle in traffic accident
V759,Unspecified occupant of bus injured in collision with railway train or railway vehicle in traffic accident
V760,Driver of bus injured in collision with other nonmotor vehicle in nontraffic accident
V761,Passenger on bus injured in collision with other nonmotor vehicle in nontraffic accident
V762,Person on outside of bus injured in collision with other nonmotor vehicle in nontraffic accident
V763,Unspecified occupant of bus injured in collision with other nonmotor vehicle in nontraffic accident
V764,Person boarding or alighting from bus injured in collision with other nonmotor vehicle
V765,Driver of bus injured in collision with other nonmotor vehicle in traffic accident
V766,Passenger on bus injured in collision with other nonmotor vehicle in traffic accident
V767,Person on outside of bus injured in collision with other nonmotor vehicle in traffic accident
V769,Unspecified occupant of bus injured in collision with other nonmotor vehicle in traffic accident
V770,Driver of bus injured in collision with fixed or stationary object in nontraffic accident
V771,Passenger on bus injured in collision with fixed or stationary object in nontraffic accident
V772,Person on outside of bus injured in collision with fixed or stationary object in nontraffic accident
V773,Unspecified occupant of bus injured in collision with fixed or stationary object in nontraffic accident
V774,Person boarding or alighting from bus injured in collision with fixed or stationary object
V775,Driver of bus injured in collision with fixed or stationary object in traffic accident
V776,Passenger on bus injured in collision with fixed or stationary object in traffic accident
V777,Person on outside of bus injured in collision with fixed or stationary object in traffic accident
V779,Unspecified occupant of bus injured in collision with fixed or stationary object in traffic accident
V780,Driver of bus injured in noncollision transport accident in nontraffic accident
V781,Passenger on bus injured in noncollision transport accident in nontraffic accident
V782,Person on outside of bus injured in noncollision transport accident in nontraffic accident
V783,Unspecified occupant of bus injured in noncollision transport accident in nontraffic accident
V784,Person boarding or alighting from bus injured in noncollision transport accident
V785,Driver of bus injured in noncollision transport accident in traffic accident
V786,Passenger on bus injured in noncollision transport accident in traffic accident
V787,Person on outside of bus injured in noncollision transport accident in traffic accident
V789,Unspecified occupant of bus injured in noncollision transport accident in traffic accident
V793,Bus occupant (driver) (passenger) injured in unspecified nontraffic accident
V799,Bus occupant (driver) (passenger) injured in unspecified traffic accident
V810,Occupant of railway train or railway vehicle injured in collision with motor vehicle in nontraffic accident
V811,Occupant of railway train or railway vehicle injured in collision with motor vehicle in traffic accident
V812,Occupant of railway train or railway vehicle injured in collision with or hit by rolling stock
V813,Occupant of railway train or railway vehicle injured in collision with other object
V814,Person injured while boarding or alighting from railway train or railway vehicle
V815,Occupant of railway train or railway vehicle injured by fall in railway train or railway vehicle
V816,Occupant of railway train or railway vehicle injured by fall from railway train or railway vehicle
V817,Occupant of railway train or railway vehicle injured in derailment without antecedent collision
V819,Occupant of railway train or railway vehicle injured in unspecified railway accident
V820,Occupant of streetcar injured in collision with motor vehicle in nontraffic accident
V821,Occupant of streetcar injured in collision with motor vehicle in traffic accident
V822,Occupant of streetcar injured in collision with or hit by rolling stock
V823,Occupant of streetcar injured in collision with other object
V824,Person injured while boarding or alighting from streetcar
V825,Occupant of streetcar injured by fall in streetcar
V826,Occupant of streetcar injured by fall from streetcar
V827,Occupant of streetcar injured in derailment without antecedent collision
V828,Occupant of streetcar injured in other specified transport accidents
V829,Occupant of streetcar injured in unspecified traffic accident
V830,Driver of special industrial vehicle injured in traffic accident
V831,Passenger of special industrial vehicle injured in traffic accident
V832,Person on outside of special industrial vehicle injured in traffic accident
V833,Unspecified occupant of special industrial vehicle injured in traffic accident
V834,Person injured while boarding or alighting from special industrial vehicle
V835,Driver of special industrial vehicle injured in nontraffic accident
V836,Passenger of special industrial vehicle injured in nontraffic accident
V837,Person on outside of special industrial vehicle injured in nontraffic accident
V839,Unspecified occupant of special industrial vehicle injured in nontraffic accident
V840,Driver of special agricultural vehicle injured in traffic accident
V841,Passenger of special agricultural vehicle injured in traffic accident
V842,Person on outside of special agricultural vehicle injured in traffic accident
V843,Unspecified occupant of special agricultural vehicle injured in traffic accident
V844,Person injured while boarding or alighting from special agricultural vehicle
V845,Driver of special agricultural vehicle injured in nontraffic accident
V846,Passenger of special agricultural vehicle injured in nontraffic accident
V847,Person on outside of special agricultural vehicle injured in nontraffic accident
V849,Unspecified occupant of special agricultural vehicle injured in nontraffic accident
V850,Driver of special construction vehicle injured in traffic accident
V851,Passenger of special construction vehicle injured in traffic accident
V852,Person on outside of special construction vehicle injured in traffic accident
V853,Unspecified occupant of special construction vehicle injured in traffic accident
V854,Person injured while boarding or alighting from special construction vehicle
V855,Driver of special construction vehicle injured in nontraffic accident
V856,Passenger of special construction vehicle injured in nontraffic accident
V857,Person on outside of special construction vehicle injured in nontraffic accident
V859,Unspecified occupant of special construction vehicle injured in nontraffic accident
V870,Person injured in collision between car and two- or three-wheeled powered vehicle (traffic)
V871,Person injured in collision between other motor vehicle and two- or three-wheeled motor vehicle (traffic)
V872,Person injured in collision between car and pick-up truck or van (traffic)
V873,Person injured in collision between car and bus (traffic)
V874,Person injured in collision between car and heavy transport vehicle (traffic)
V875,Person injured in collision between heavy transport vehicle and bus (traffic)
V876,Person injured in collision between railway train or railway vehicle and car (traffic)
V877,Person injured in collision between other specified motor vehicles (traffic)
V878,Person injured in other specified noncollision transport accidents involving motor vehicle (traffic)
V879,Person injured in other specified (collision)(noncollision) transport accidents involving nonmotor vehicle (traffic)
V880,"Person injured in collision between car and two- or three-wheeled motor vehicle, nontraffic"
V881,"Person injured in collision between other motor vehicle and two- or three-wheeled motor vehicle, nontraffic"
V882,"Person injured in collision between car and pick-up truck or van, nontraffic"
V883,"Person injured in collision between car and bus, nontraffic"
V884,"Person injured in collision between car and heavy transport vehicle, nontraffic"
V885,"Person injured in collision between heavy transport vehicle and bus, nontraffic"
V886,"Person injured in collision between railway train or railway vehicle and car, nontraffic"
V887,"Person injured in collision between other specified motor vehicle, nontraffic"
V888,"Person injured in other specified noncollision transport accidents involving motor vehicle, nontraffic"
V889,"Person injured in other specified (collision)(noncollision) transport accidents involving nonmotor vehicle, nontraffic"
V890,"Person injured in unspecified motor-vehicle accident, nontraffic"
V891,"Person injured in unspecified nonmotor-vehicle accident, nontraffic"
V892,"Person injured in unspecified motor-vehicle accident, traffic"
V893,"Person injured in unspecified nonmotor-vehicle accident, traffic"
V899,Person injured in unspecified vehicle accident
V940,Hitting object or bottom of body of water due to fall from watercraft
V944,Injury to barefoot water-skier
V949,Unspecified water transport accident
V958,Other powered aircraft accidents injuring occupant
V959,Unspecified aircraft accident injuring occupant
V968,Other nonpowered-aircraft accidents injuring occupant
V969,Unspecified nonpowered-aircraft accident injuring occupant
V970,Occupant of aircraft injured in other specified air transport accidents
V971,Person injured while boarding or alighting from aircraft
V980,"Accident to, on or involving cable-car, not on rails"
V981,"Accident to, on or involving land-yacht"
V982,"Accident to, on or involving ice yacht"
V983,"Accident to, on or involving ski lift"
V988,Other specified transport accidents
V99,Unspecified transport accident
W000,Fall on same level due to ice and snow
W001,Fall from stairs and steps due to ice and snow
W002,Other fall from one level to another due to ice and snow
W009,Unspecified fall due to ice and snow
W010,"Fall on same level from slipping, tripping and stumbling without subsequent striking against object"
W03,Other fall on same level due to collision with another person
W04,Fall while being carried or supported by other persons
W050,Fall from non-moving wheelchair
W051,Fall from non-moving nonmotorized scooter
W052,Fall from non-moving motorized mobility scooter
W06,Fall from bed
W07,Fall from chair
W08,Fall from other furniture
W090,Fall on or from playground slide
W091,Fall from playground swing
W092,Fall on or from jungle gym
W098,Fall on or from other playground equipment
W100,Fall (on)(from) escalator
W101,Fall (on)(from) sidewalk curb
W102,Fall (on)(from) incline
W108,Fall (on) (from) other stairs and steps
W109,Fall (on) (from) unspecified stairs and steps
W11,Fall on and from ladder
W12,Fall on and from scaffolding
W130,"Fall from, out of or through balcony"
W131,"Fall from, out of or through bridge"
W132,"Fall from, out of or through roof"
W133,Fall through floor
W134,"Fall from, out of or through window"
W138,"Fall from, out of or through other building or structure"
W139,"Fall from, out of or through building, not otherwise specified"
W14,Fall from tree
W15,Fall from cliff
W170,Fall into well
W171,Fall into storm drain or manhole
W172,Fall into hole
W173,Fall into empty swimming pool
W174,Fall from dock
W182,Fall in (into) shower or empty bathtub
W19,Unspecified fall
W200,Struck by falling object in cave-in
W201,Struck by object due to collapse of building
W208,"Other cause of strike by thrown, projected or falling object"
W214,Striking against diving board
W219,Striking against or struck by unspecified sports equipment
W228,Striking against or struck by other objects
W230,"Caught, crushed, jammed, or pinched between moving objects"
W231,"Caught, crushed, jammed, or pinched between stationary objects"
W240,"Contact with lifting devices, not elsewhere classified"
W241,"Contact with transmission devices, not elsewhere classified"
W25,Contact with sharp glass
W260,Contact with knife
W261,Contact with sword or dagger
W262,Contact with edge of stiff paper
W268,"Contact with other sharp object(s), not elsewhere classified"
W269,Contact with unspecified sharp object(s)
W270,Contact with workbench tool
W271,Contact with garden tool
W272,Contact with scissors
W273,Contact with needle (sewing)
W274,Contact with kitchen utensil
W275,Contact with paper-cutter
W278,Contact with other nonpowered hand tool
W28,Contact with powered lawn mower
W290,Contact with powered kitchen appliance
W291,Contact with electric knife
W292,Contact with other powered household machinery
W293,Contact with powered garden and outdoor hand tools and machinery
W294,Contact with nail gun
W298,Contact with other powered hand tools and household machinery
W300,Contact with combine harvester
W301,Contact with power take-off devices (PTO)
W302,Contact with hay derrick
W303,Contact with grain storage elevator
W309,Contact with unspecified agricultural machinery
W310,Contact with mining and earth-drilling machinery
W311,Contact with metalworking machines
W312,Contact with powered woodworking and forming machines
W313,Contact with prime movers
W319,Contact with unspecified machinery
W320,Accidental handgun discharge
W321,Accidental handgun malfunction
W35,Explosion and rupture of boiler
W361,Explosion and rupture of aerosol can
W362,Explosion and rupture of air tank
W363,Explosion and rupture of pressurized-gas tank
W368,Explosion and rupture of other gas cylinder
W369,Explosion and rupture of unspecified gas cylinder
W370,Explosion of bicycle tire
W378,"Explosion and rupture of other pressurized tire, pipe or hose"
W38,Explosion and rupture of other specified pressurized devices
W39,Discharge of firework
W400,Explosion of blasting material
W401,Explosion of explosive gases
W408,Explosion of other specified explosive materials
W409,Explosion of unspecified explosive materials
W420,Exposure to supersonic waves
W429,Exposure to other noise
W450,Nail entering through skin
W458,Other foreign body or object entering through skin
W460,Contact with hypodermic needle
W461,Contact with contaminated hypodermic needle
W499,Exposure to other inanimate mechanical forces
W500,Accidental hit or strike by another person
W501,Accidental kick by another person
W502,Accidental twist by another person
W503,Accidental bite by another person
W504,Accidental scratch by another person
W51,Accidental striking against or bumped into by another person
W52,"Crushed, pushed or stepped on by crowd or human stampede"
W540,Bitten by dog
W541,Struck by dog
W548,Other contact with dog
W57,Bitten or stung by nonvenomous insect and other nonvenomous arthropods
W60,Contact with nonvenomous plant thorns and spines and sharp leaves
W620,Contact with nonvenomous frogs
W621,Contact with nonvenomous toads
W629,Contact with other nonvenomous amphibians
W64,Exposure to other animate mechanical forces
W65,Accidental drowning and submersion while in bath-tub
W67,Accidental drowning and submersion while in swimming-pool
W69,Accidental drowning and submersion while in natural water
W73,Other specified cause of accidental non-transport drowning and submersion
W74,Unspecified cause of accidental drowning and submersion
W85,Exposure to electric transmission lines
W860,Exposure to domestic wiring and appliances
W861,"Exposure to industrial wiring, appliances and electrical machinery"
W868,Exposure to other electric current
W880,Exposure to X-rays
W881,Exposure to radioactive isotopes
W888,Exposure to other ionizing radiation
W890,Exposure to welding light (arc)
W891,Exposure to tanning bed
W898,Exposure to other man-made visible and ultraviolet light
W899,Exposure to unspecified man-made visible and ultraviolet light
W900,Exposure to radiofrequency
W901,Exposure to infrared radiation
W902,Exposure to laser radiation
W908,Exposure to other nonionizing radiation
W92,Exposure to excessive heat of man-made origin
W932,Prolonged exposure in deep freeze unit or refrigerator
W938,Exposure to other excessive cold of man-made origin
W940,Exposure to prolonged high air pressure
W99,Exposure to other man-made environmental factors
X000,Exposure to flames in uncontrolled fire in building or structure
X001,Exposure to smoke in uncontrolled fire in building or structure
X002,Injury due to collapse of burning building or structure in uncontrolled fire
X003,Fall from burning building or structure in uncontrolled fire
X004,Hit by object from burning building or structure in uncontrolled fire
X005,Jump from burning building or structure in uncontrolled fire
X008,Other exposure to uncontrolled fire in building or structure
X010,"Exposure to flames in uncontrolled fire, not in building or structure"
X011,"Exposure to smoke in uncontrolled fire, not in building or structure"
X013,"Fall due to uncontrolled fire, not in building or structure"
X014,"Hit by object due to uncontrolled fire, not in building or structure"
X018,"Other exposure to uncontrolled fire, not in building or structure"
X020,Exposure to flames in controlled fire in building or structure
X021,Exposure to smoke in controlled fire in building or structure
X022,Injury due to collapse of burning building or structure in controlled fire
X023,Fall from burning building or structure in controlled fire
X024,Hit by object from burning building or structure in controlled fire
X025,Jump from burning building or structure in controlled fire
X028,Other exposure to controlled fire in building or structure
X030,"Exposure to flames in controlled fire, not in building or structure"
X031,"Exposure to smoke in controlled fire, not in building or structure"
X033,"Fall due to controlled fire, not in building or structure"
X034,"Hit by object due to controlled fire, not in building or structure"
X038,"Other exposure to controlled fire, not in building or structure"
X04,Exposure to ignition of highly flammable material
X05,Exposure to ignition or melting of nightwear
X060,Exposure to ignition of plastic jewelry
X061,Exposure to melting of plastic jewelry
X062,Exposure to ignition of other clothing and apparel
X063,Exposure to melting of other clothing and apparel
X088,"Exposure to other specified smoke, fire and flames"
X100,Contact with hot drinks
X101,Contact with hot food
X102,Contact with fats and cooking oils
X110,Contact with hot water in bath or tub
X111,Contact with running hot water
X118,Contact with other hot tap-water
X12,Contact with other hot fluids
X130,Inhalation of steam and other hot vapors
X131,Other contact with steam and other hot vapors
X140,Inhalation of hot air and gases
X141,Other contact with hot air and other hot gases
X150,Contact with hot stove (kitchen)
X151,Contact with hot toaster
X152,Contact with hotplate
X153,Contact with hot saucepan or skillet
X158,Contact with other hot household appliances
X16,"Contact with hot heating appliances, radiators and pipes"
X17,"Contact with hot engines, machinery and tools"
X18,Contact with other hot metals
X19,Contact with other heat and hot substances
X30,Exposure to excessive natural heat
X31,Exposure to excessive natural cold
X32,Exposure to sunlight
X34,Earthquake
X35,Volcanic eruption
X360,Collapse of dam or man-made structure causing earth movement
X361,"Avalanche, landslide, or mudslide"
X370,Hurricane
X371,Tornado
X372,Blizzard (snow)(ice)
X373,Dust storm
X378,Other cataclysmic storms
X379,Unspecified cataclysmic storm
X38,Flood
X398,Other exposure to forces of nature
X500,Overexertion from strenuous movement or load
X501,Overexertion from prolonged static or awkward postures
X503,Overexertion from repetitive movements
X509,Other and unspecified overexertion or strenuous movements or postures
X52,Prolonged stay in weightless environment
X58,Exposure to other specified factors
X710,Intentional self-harm by drowning and submersion while in bathtub
X711,Intentional self-harm by drowning and submersion while in swimming pool
X712,Intentional self-harm by drowning and submersion after jump into swimming pool
X713,Intentional self-harm by drowning and submersion in natural water
X718,Other intentional self-harm by drowning and submersion
X719,"Intentional self-harm by drowning and submersion, unspecified"
X72,Intentional self-harm by handgun discharge
X730,Intentional self-harm by shotgun discharge
X731,Intentional self-harm by hunting rifle discharge
X732,Intentional self-harm by machine gun discharge
X738,Intentional self-harm by other larger firearm discharge
X739,Intentional self-harm by unspecified larger firearm discharge
X748,Intentional self-harm by other firearm discharge
X749,Intentional self-harm by unspecified firearm discharge
X75,Intentional self-harm by explosive material
X76,"Intentional self-harm by smoke, fire and flames"
X770,Intentional self-harm by steam or hot vapors
X771,Intentional self-harm by hot tap water
X772,Intentional self-harm by other hot fluids
X773,Intentional self-harm by hot household appliances
X778,Intentional self-harm by other hot objects
X779,Intentional self-harm by unspecified hot objects
X780,Intentional self-harm by sharp glass
X781,Intentional self-harm by knife
X782,Intentional self-harm by sword or dagger
X788,Intentional self-harm by other sharp object
X789,Intentional self-harm by unspecified sharp object
X79,Intentional self-harm by blunt object
X80,Intentional self-harm by jumping from a high place
X810,Intentional self-harm by jumping or lying in front of motor vehicle
X811,Intentional self-harm by jumping or lying in front of (subway) train
X818,Intentional self-harm by jumping or lying in front of other moving object
X820,Intentional collision of motor vehicle with other motor vehicle
X821,Intentional collision of motor vehicle with train
X822,Intentional collision of motor vehicle with tree
X828,Other intentional self-harm by crashing of motor vehicle
X830,Intentional self-harm by crashing of aircraft
X831,Intentional self-harm by electrocution
